merge,1024,0
merge,2048,0
merge,4096,1848
merge,8192,3392
merge,16384,7010.8
merge,32768,12946.2
merge,65536,31593.4
merge,131072,62310.4
merge,262144,128233
bubble,1024,3444
bubble,2048,27194.4
bubble,4096,80458.8
bubble,8192,336485
bubble,16384,1.36388e+006
bubble,32768,5.52946e+006
bubble,65536,3.09727e+007
linear,1024,0
linear,2048,0
linear,4096,199.8
linear,8192,0
linear,16384,199.6
linear,32768,200
linear,65536,399.8
linear,131072,1334
linear,262144,0
linear,524288,7066
linear,1048576,12175
binary,1024,0
binary,2048,0
binary,4096,0
binary,8192,0
binary,16384,0
binary,32768,0
binary,65536,979.2
binary,131072,406
binary,262144,2116.4
binary,524288,3496.6
binary,1048576,10019
binary,2097152,19573.4
binary,4194304,32530.8
binary,8388608,68286.4
binary,16777216,122101
bubble,1024,3756.4
bubble,2048,24796.4
bubble,4096,82091.2
bubble,8192,348518
bubble,16384,1.39577e+006
bubble,32768,7.91553e+006
bubble,65536,3.02857e+007
